X_Value,Y1_Value,Y2_Value,Y3_Value
222,-176.0739398,75240.99225,75064.91831
223,-176.1203557,75225.0707,75048.95034
224,-176.1756137,75208.84992,75032.67431
225,-176.2399628,75192.38618,75016.14622
226,-176.3136522,75175.73574,74999.42209
227,-176.396931,75158.95486,74982.55793
228,-176.4900484,75142.09979,74965.60974
229,-176.5932535,75125.22681,74948.63356
230,-176.7067954,75108.39216,74931.68536
231,-176.8309233,75091.65212,74914.8212
232,-176.9658864,75075.06293,74898.09704
233,-177.1119337,75058.68087,74881.56894
234,-177.2693144,75042.56219,74865.29288
235,-177.4382776,75026.76315,74849.32487
236,-177.6190726,75011.34001,74833.72094
237,-177.8119483,74996.34904,74818.53709
238,-178.017154,74981.84649,74803.82934
239,-178.2349387,74967.88863,74789.65369
240,-178.4655518,74954.53172,74776.06617
241,-178.7092421,74941.83201,74763.12277
242,-178.9660369,74929.83387,74750.86783
243,-179.2350747,74918.53412,74739.29905
244,-179.5152719,74907.91766,74728.40239
245,-179.8055451,74897.96941,74718.16386
246,-180.1048108,74888.67428,74708.56947
247,-180.4119854,74880.01719,74699.6052
248,-180.7259855,74871.98305,74691.25706
249,-181.0457275,74864.55678,74683.51105
250,-181.3701279,74857.72328,74676.35315
251,-181.6981031,74851.46747,74669.76937
252,-182.0285698,74845.77427,74663.7457
253,-182.3604444,74840.62859,74658.26815
254,-182.6926433,74836.01535,74653.32271
255,-183.024083,74831.91945,74648.89537
256,-183.3536801,74828.32581,74644.97213
257,-183.680351,74825.21935,74641.539
258,-184.0030122,74822.58498,74638.58197
259,-184.3205803,74820.40761,74636.08703
260,-184.6319716,74818.67216,74634.04019
261,-184.9361027,74817.36354,74632.42744
262,-185.23189,74816.46666,74631.23477
263,-185.5182501,74815.96645,74630.4482
264,-185.7940994,74815.8478,74630.0537
265,-186.0583545,74816.09565,74630.0373
266,-186.3099318,74816.69489,74630.38496
267,-186.5477478,74817.63045,74631.0827
268,-186.7707189,74818.88724,74632.11652
269,-186.9777618,74820.45017,74633.47241
270,-187.1677928,74822.30416,74635.13637
271,-187.3397285,74824.43411,74637.09438
272,-187.4924853,74826.82495,74639.33246
273,-187.6249797,74829.46159,74641.83661
274,-187.7361283,74832.32894,74644.59281
275,-187.8248475,74835.41192,74647.58707
276,-187.8900537,74838.69544,74650.80539
277,-187.9306636,74842.16441,74654.23375
278,-187.9455935,74845.80375,74657.85816
279,-187.9337599,74849.59837,74661.66461
