Z_Value,X_Value,Y_Value
119211.3547,750,101721.5837
119167.3878,751,102039.5008
119122.6378,752,102356.1795
119077.0994,753,102670.9265
119030.767,754,102983.0491
118983.6354,755,103291.8541
118935.6992,756,103596.6487
118886.9528,757,103896.7397
118837.3911,758,104191.4343
118787.0084,759,104480.0394
118735.7996,760,104761.8621
118683.7591,761,105036.2094
118630.8816,762,105302.3883
118577.1617,763,105559.7058
118522.5939,764,105807.4689
118467.173,765,106044.9847
118410.8934,766,106271.5601
118353.7499,767,106486.5023
118295.7369,768,106689.1181
118236.8492,769,106878.7146
118177.0813,770,107054.5989
118116.4279,771,107216.0779
118054.8834,772,107362.4587
117992.4426,773,107493.0483
117929.1001,774,107607.1536
117864.8504,775,107704.0818
117799.6881,776,107783.1398
117733.608,777,107843.6346
117666.6044,778,107884.8733
117598.6722,779,107906.1629
117529.8059,780,107906.8104
117460,781,107886.1228
117389.2672,782,107843.6091
117317.6916,783,107779.5862
117245.3753,784,107694.573
117172.4207,785,107589.0884
117098.9297,786,107463.6513
117025.0046,787,107318.7806
116950.7475,788,107154.9951
116876.2606,789,106972.8138
116801.646,790,106772.7556
116727.0058,791,106555.3392
116652.4423,792,106321.0837
116578.0575,793,106070.508
116503.9536,794,105804.1308
116430.2328,795,105522.4711
116356.9973,796,105226.0478
116284.3491,797,104915.3798
116212.3904,798,104590.9859
116141.2234,799,104253.3851
116070.9503,800,103903.0962
116001.6731,801,103540.6382
115933.4941,802,103166.5299
115866.5153,803,102781.2902
115800.839,804,102385.438
115736.5673,805,101979.4922
115673.8023,806,101563.9716
115612.6463,807,101139.3953
115553.2013,808,100706.282
115495.5694,809,100265.1507
115439.853,810,99816.52015
115386.154,811,99360.90938
115334.5747,812,98898.83723
115285.2172,813,98430.82259
115238.1837,814,97957.38434
115193.5763,815,97479.04139
115151.4971,816,96996.31262
115112.0484,817,96509.71691
115075.3322,818,96019.77316
115041.4508,819,95527.00027
115010.5062,820,95031.91711
114982.6007,821,94535.04257
114957.8363,822,94036.89556
114936.3153,823,93537.99495
114918.1398,824,93038.85964
114903.4119,825,92540.00852
114892.2337,826,92041.96047
114884.7076,827,91545.23439
114880.9355,828,91050.34917
114881.0196,829,90557.82369
114885.0622,830,90068.17685
114893.1653,831,89581.92753
114905.4311,832,89099.59463
114921.9618,833,88621.69704
114942.8594,834,88148.75364
114968.2262,835,87681.28332
114998.1644,836,87219.80498
115032.776,837,86764.8375
115072.1632,838,86316.89978
115116.4281,839,85876.5107
115165.673,840,85444.18915
115220,841,85020.45403
115279.4755,842,84605.72131
115344.0234,843,84199.99534
115413.5319,844,83803.17757
115487.8892,845,83415.16943
115566.9833,846,83035.87236
