X_Value,Y_Value
352,74951.14958
353,74949.99355
354,74948.85818
355,74947.74755
356,74946.66574
357,74945.61684
358,74944.60494
359,74943.6341
360,74942.70843
361,74941.83201
362,74941.00802
363,74940.23611
364,74939.51502
365,74938.84352
366,74938.22035
367,74937.64426
368,74937.11401
369,74936.62834
370,74936.186
371,74935.78575
372,74935.42634
373,74935.10652
374,74934.82504
375,74934.58064
376,74934.37209
377,74934.19814
378,74934.05752
379,74933.94901
380,74933.87133
381,74933.82326
382,74933.80353
383,74933.8109
384,74933.84412
385,74933.90195
386,74933.98312
387,74934.0864
388,74934.21054
389,74934.35428
390,74934.51637
391,74934.69558
392,74934.89064
393,74935.10031
394,74935.32335
395,74935.55849
396,74935.8045
397,74936.06012
398,74936.32411
399,74936.59521
400,74936.87218
401,74937.15377
402,74937.43873
403,74937.72581
404,74938.01376
405,74938.30133
406,74938.58728
407,74938.87035
408,74939.14929
409,74939.42286
410,74939.68982
411,74939.94889
412,74940.19885
413,74940.43844
414,74940.66642
415,74940.88152
416,74941.08251
417,74941.26814
418,74941.43715
419,74941.58829
420,74941.72033
421,74941.83201
422,74941.92243
423,74941.99216
424,74942.04211
425,74942.07317
426,74942.08628
427,74942.08234
428,74942.06226
429,74942.02696
430,74941.97734
431,74941.91432
432,74941.83881
433,74941.75173
434,74941.65398
435,74941.54647
436,74941.43013
437,74941.30585
438,74941.17456
439,74941.03716
440,74940.89457
441,74940.7477
442,74940.59746
443,74940.44476
444,74940.29051
445,74940.13563
446,74939.98103
447,74939.82763
448,74939.67632
449,74939.52803
450,74939.38367
451,74939.24414
452,74939.11037
453,74938.98326
454,74938.86372
455,74938.75267
456,74938.65102
457,74938.55968
458,74938.47956
459,74938.41158
460,74938.35664
461,74938.31567
462,74938.28956
463,74938.27924
464,74938.28561
465,74938.30959
466,74938.35209
467,74938.41402
468,74938.49629
469,74938.59982
470,74938.72551
471,74938.87428
472,74939.04705
473,74939.24472
474,74939.4682
475,74939.71841
476,74939.99626
477,74940.30266
478,74940.63852
479,74941.00476
480,74941.40228
481,74941.83201
482,74942.30324
483,74942.85888
484,74943.55024
485,74944.4286
486,74945.54526
487,74946.95153
488,74948.69871
489,74950.83809
490,74953.42097
491,74956.49866
492,74960.12244
493,74964.34362
494,74969.2135
495,74974.78338
496,74981.10455
497,74988.22831
498,74996.20597
499,75005.08882
500,75014.92817
501,75025.7753
502,75037.68152
503,75050.69813
504,75064.87642
505,75080.2677
506,75096.92326
507,75114.89441
508,75134.23244
509,75154.98865
510,75177.21434
511,75200.96081
512,75226.27935
513,75253.22127
514,75281.83787
515,75312.18044
516,75344.30028
517,75378.2487
518,75414.07698
519,75451.83644
520,75491.57836
521,75533.35406
522,75577.21481
523,75623.21194
524,75671.39672
525,75721.82047
526,75774.53448
527,75829.59005
528,75887.03848
529,75946.93107
530,76009.31912
531,76074.25392
532,76141.78678
533,76211.96899
534,76284.85185
535,76360.48667
536,76438.92473
537,76520.21735
538,76604.41581
539,76691.57142
540,76781.73548
541,76874.95928
542,76971.29113
543,77070.76733
544,77173.4212
545,77279.28604
546,77388.39518
547,77500.78192
548,77616.47957
549,77735.52145
550,77857.94086
551,77983.77112
552,78113.04554
553,78245.79743
554,78382.06011
555,78521.86688
556,78665.25105
557,78812.24594
558,78962.88486
559,79117.20112
560,79275.22804
561,79436.99891
562,79602.54707
563,79771.90581
564,79945.10844
565,80122.18829
566,80303.17866
567,80488.11286
568,80677.02421
569,80869.94602
570,81066.91159
571,81267.95424
572,81473.10728
573,81682.40403
574,81895.87779
575,82113.56187
576,82335.4896
577,82561.69427
578,82792.2092
579,83027.06771
580,83266.3031
581,83509.94868
582,83758.03777
583,84010.60368
584,84267.67972
585,84529.2992
586,84795.49544
587,85066.30174
588,85341.75142
589,85621.87778
590,85906.71415
591,86196.29382
592,86490.65012
593,86789.81635
594,87093.82583
595,87402.71187
596,87716.50778
597,88035.24686
598,88358.96244
599,88687.68782
