Y_Value,X_Value
-153.6417869,323
-152.6126355,324
-151.6257529,325
-150.6852239,326
-149.7951334,327
-148.9595664,328
-148.1826077,329
-147.4683422,330
-146.820855,331
-146.2442308,332
-145.7425546,333
-145.3199114,334
-144.9803859,335
-144.7280632,336
-144.5670281,337
-144.5013655,338
-144.5351604,339
-144.6724976,340
-144.9174622,341
-145.2741389,342
-145.7466127,343
-146.3389685,344
-147.0552912,345
-147.8996658,346
-148.8761771,347
-149.98891,348
-151.2419495,349
-152.6393805,350
-154.1852878,351
-155.8837564,352
-157.7388712,353
-159.7547172,354
-161.9353791,355
-164.284942,356
-166.8074907,357
-169.5071102,358
-172.3878853,359
-175.453901,360
-178.7092421,361
-182.1547702,362
-185.7784525,363
-189.5650329,364
-193.4992554,365
-197.5658637,366
-201.7496017,367
-206.0352134,368
-210.4074426,369
-214.8510331,370
-219.3507289,371
-223.8912737,372
-228.4574116,373
-233.0338862,374
-237.6054416,375
-242.1568216,376
-246.6727701,377
-251.1380308,378
-255.5373478,379
-259.8554648,380
-264.0771258,381
-268.1870746,382
-272.1700551,383
-276.0108112,384
-279.6940866,385
-283.2046254,386
-286.5271714,387
-289.6464684,388
-292.5472603,389
-295.214291,390
-297.6323043,391
-299.7860442,392
-301.6602545,393
-303.239679,394
-304.5090617,395
-305.4531464,396
-306.056677,397
-306.3043974,398
-306.1810513,399
-305.6713828,400
-304.7601356,401
-303.4320537,402
-301.6718809,403
-299.4643611,404
-296.7942382,405
-293.6462559,406
-290.0051583,407
-285.8556891,408
-281.1825923,409
-275.9706117,410
-270.2044911,411
-263.8689746,412
-256.9488058,413
-249.4287288,414
-241.2934873,415
-232.5278252,416
-223.1164865,417
-213.044215,418
-202.2957545,419
-190.8558489,420
-178.7092421,421
-165.8279043,422
-152.1327103,423
-137.5317617,424
-121.9331595,425
-105.2450052,426
-87.37539992,427
-68.23244505,428
-47.72424184,429
-25.75889159,430
-2.244495574,431
22.91084492,432
49.79902861,433
78.51195421,434
109.1415204,435
141.779626,436
176.5181696,437
213.44905,438
252.6641658,439
294.2554159,440
338.3146988,441
384.9339134,442
434.2049584,443
486.2197323,444
541.0701341,445
598.8480623,446
659.6454158,447
723.5540931,448
790.6659931,449
861.0730144,450
934.8670558,451
1012.140016,452
1092.983794,453
1177.490287,454
1265.751396,455
1357.859019,456
1453.905053,457
1553.981399,458
1658.179955,459
1766.592619,460
1879.31129,461
1996.427867,462
2118.034249,463
2244.222334,464
