X_Value,Y_Value
445,110724.776
446,111258.1378
447,111786.6397
448,112309.8766
449,112827.5065
450,113338.9991
451,113844.012
452,114342.0154
453,114832.6049
454,115315.437
455,115790.0458
456,116255.9637
457,116712.7228
458,117160.0431
459,117597.3325
460,118024.2487
461,118440.387
462,118845.2161
463,119238.4587
464,119619.5224
465,119988.0623
466,120343.6745
467,120685.8927
468,121014.2465
469,121328.3983
470,121627.8761
471,121912.2194
472,122181.0797
473,122433.9277
474,122670.3588
475,122890.0317
476,123092.4165
477,123277.1705
478,123443.7652
479,123591.8558
480,123720.9762
481,123830.6583
482,123920.5604
483,123990.3065
484,124040.2424
485,124070.6422
486,124081.8669
487,124074.3974
488,124048.5777
489,124004.6806
490,123943.2133
491,123864.4325
492,123768.8469
493,123656.7118
494,123528.4131
495,123384.4458
496,123225.0278
497,123050.6525
498,122861.6373
499,122658.301
500,122441.1611
501,122210.5211
502,121966.7253
503,121710.1467
504,121441.2239
505,121160.2745
506,120867.7485
507,120563.905
508,120249.1837
509,119923.9709
510,119588.6502
511,119243.5371
512,118889.0801
513,118525.5988
514,118153.4731
515,117773.0873
516,117384.8239
517,116989.0651
518,116586.1934
519,116176.5316
520,115760.4562
521,115338.4145
522,114910.7283
523,114477.8348
524,114040.0069
525,113597.6774
526,113151.1705
527,112700.9903
528,112247.3337
529,111790.7703
530,111331.4967
531,110869.9509
532,110406.5922
533,109941.6634
534,109475.619
535,109008.8353
536,108541.6347
537,108074.4619
538,107607.5747
539,107141.479
540,106676.4984
541,106213.0097
542,105751.4
543,105291.9696
544,104834.7612
545,104379.7993
546,103927.046
547,103476.588
548,103028.4505
549,102582.5317
550,102138.8578
551,101697.5087
552,101258.3979
553,100821.6027
554,100387.0891
555,99954.87759
556,99524.94311
557,99097.34895
558,98672.0764
559,98249.06506
560,97828.43096
561,97410.1212
562,96994.10203
563,96580.45918
564,96169.1557
565,95760.15647
566,95353.53973
567,94949.25173
568,94547.35245
569,94147.78945
570,93750.65053
571,93355.83432
572,92963.41684
573,92573.37722
574,92185.73325
575,91800.50942
576,91417.60613
577,91037.17264
578,90659.1719
579,90283.50477
580,89910.28663
581,89539.5427
582,89171.18661
583,88805.27564
