X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
106,-50643.03417,534551.1875,-106394.25,428156.9375,78302.96116,-400000
107,749092.2926,534551.1875,-106092.5625,428458.625,78016.8866,-400000
108,749679.4209,534551.1875,-105790.1563,428761.0312,77736.71775,-400000
109,750261.3679,534551.1875,-105487.9375,429063.25,77462.7429,-400000
110,750836.9406,534551.1875,-105186.75,429364.4375,77195.25038,-400000
111,751405.008,534551.1875,-104887.4375,429663.75,76934.52849,-400000
112,751964.4392,534551.1875,-104590.875,429960.3125,76680.86554,-400000
113,752514.0723,534551.1875,-104297.875,430253.3125,76434.54986,-400000
114,753052.8076,534551.1875,-104009.3438,430541.8437,76195.86973,-400000
115,753579.4518,534551.1875,-103726.1563,430825.0312,75965.11349,-400000
116,754092.8429,534551.1875,-103449.0938,431102.0937,75742.56942,-400000
117,754591.9124,534551.1875,-103179.0938,431372.0937,75528.52586,-400000
118,755075.436,534551.1875,-102916.9688,431634.2187,75323.2711,-400000
119,755542.3139,534551.1875,-102663.5938,431887.5937,75127.09346,-400000
120,755991.3842,534551.1875,-102419.8125,432131.375,74940.28124,-400000
121,756421.5159,534551.1875,-102186.5,432364.6875,74763.12277,-400000
122,756831.547,534551.1875,-101964.3125,432586.875,74595.82328,-400000
123,757220.6169,534551.1875,-101753.1875,432798,74438.2558,-400000
124,757588.9148,534551.1875,-101552.8125,432998.375,74290.21028,-400000
125,757936.9625,534551.1875,-101362.9375,433188.25,74151.47668,-400000
126,758265.2196,534551.1875,-101183.2813,433367.9062,74021.84496,-400000
127,758574.1768,534551.1875,-101013.5625,433537.625,73901.10507,-400000
128,758864.325,534551.1875,-100853.5313,433697.6562,73789.04696,-400000
129,759136.1236,534551.1875,-100702.9063,433848.2812,73685.46061,-400000
130,759390.0635,534551.1875,-100561.4063,433989.7812,73590.13596,-400000
131,759626.6353,534551.1875,-100428.75,434122.4375,73502.86296,-400000
132,759846.3299,534551.1875,-100304.6563,434246.5312,73423.43158,-400000
133,760049.638,534551.1875,-100188.9063,434362.2812,73351.63178,-400000
134,760236.988,534551.1875,-100081.1563,434470.0312,73287.25351,-400000
135,760408.933,534551.1875,-99981.15625,434570.0313,73230.08672,-400000
