X_Value,Base,Z1_Value,Variation,Y_Value,Z_Value
139,534551.1875,-130380.5078,-99653.28125,434897.9063,404170.6797
140,534551.1875,-130581.2422,-99587.9375,434963.25,403969.9453
141,534551.1875,-130780.7578,-99528.71875,435022.4688,403770.4297
142,534551.1875,-130978.9922,-99475.34375,435075.8438,403572.1953
143,534551.1875,-131175.875,-99427.53125,435123.6563,403375.3125
144,534551.1875,-131371.3281,-99385,435166.1875,403179.8594
145,534551.1875,-131565.3125,-99347.46875,435203.7188,402985.875
146,534551.1875,-131757.75,-99314.6875,435236.5,402793.4375
147,534551.1875,-131948.5781,-99286.375,435264.8125,402602.6094
148,534551.1875,-132137.7344,-99262.25,435288.9375,402413.4531
149,534551.1875,-132325.1563,-99242.03125,435309.1563,402226.0312
150,534551.1875,-132510.7656,-99225.46875,435325.7188,402040.4219
151,534551.1875,-132694.5156,-99212.28125,435338.9063,401856.6719
152,534551.1875,-132876.3438,-99202.1875,435349,401674.8437
153,534551.1875,-133056.1719,-99194.90625,435356.2813,401495.0156
154,534551.1875,-133233.9375,-99190.15625,435361.0313,401317.25
155,534551.1875,-133409.5938,-99187.6875,435363.5,401141.5937
156,534551.1875,-133583.0469,-99187.21875,435363.9688,400968.1406
157,534551.1875,-133754.2656,-99188.5,435362.6875,400796.9219
158,534551.1875,-133923.1563,-99191.1875,435360,400628.0312
159,534551.1875,-134089.6719,-99195.0625,435356.125,400461.5156
160,534551.1875,-134253.75,-99199.875,435351.3125,400297.4375
161,534551.1875,-134415.3125,-99205.28125,435345.9063,400135.875
162,534551.1875,-134574.3125,-99211.03125,435340.1563,399976.875
163,534551.1875,-134730.6719,-99216.875,435334.3125,399820.5156
164,534551.1875,-134884.3281,-99222.53125,435328.6563,399666.8594
165,534551.1875,-135035.2188,-99227.6875,435323.5,399515.9687
166,534551.1875,-135183.2813,-99232.125,435319.0625,399367.9062
167,534551.1875,-135328.4531,-99235.5625,435315.625,399222.7344
168,534551.1875,-135470.6719,-99237.6875,435313.5,399080.5156
169,534551.1875,-135609.875,-99238.25,435312.9375,398941.3125
170,534551.1875,-135745.9844,-99236.96875,435314.2188,398805.2031
171,534551.1875,-135878.9375,-99233.5625,435317.625,398672.25
172,534551.1875,-136008.6875,-99227.78125,435323.4063,398542.5
173,534551.1875,-136135.1563,-99219.3125,435331.875,398416.0312
174,534551.1875,-136258.2813,-99207.9375,435343.25,398292.9062
175,534551.1875,-136378,-99193.34375,435357.8438,398173.1875
176,534551.1875,-136494.25,-99175.28125,435375.9063,398056.9375
177,534551.1875,-136606.9688,-99153.4375,435397.75,397944.2187
178,534551.1875,-136716.0781,-99127.5625,435423.625,397835.1094
179,534551.1875,-136821.5313,-99097.375,435453.8125,397729.6562
180,534551.1875,-136923.25,-99062.625,435488.5625,397627.9375
181,534551.1875,-137021.1875,-99023,435528.1875,397530
182,534551.1875,-137115.2813,-98978.3125,435572.875,397435.9062
183,534551.1875,-137205.5938,-98928.53125,435622.6563,397345.5937
184,534551.1875,-137292.1875,-98873.75,435677.4375,397259
185,534551.1875,-137375.1406,-98813.96875,435737.2188,397176.0469
186,534551.1875,-137454.5,-98749.28125,435801.9063,397096.6875
187,534551.1875,-137530.3438,-98679.71875,435871.4688,397020.8437
188,534551.1875,-137602.75,-98605.34375,435945.8438,396948.4375
189,534551.1875,-137671.7813,-98526.1875,436025,396879.4062
190,534551.1875,-137737.5,-98442.34375,436108.8438,396813.6875
191,534551.1875,-137799.9844,-98353.8125,436197.375,396751.2031
192,534551.1875,-137859.2969,-98260.6875,436290.5,396691.8906
193,534551.1875,-137915.5156,-98163,436388.1875,396635.6719
194,534551.1875,-137968.6875,-98060.8125,436490.375,396582.5
195,534551.1875,-138018.9063,-97954.1875,436597,396532.2812
196,534551.1875,-138066.2188,-97843.125,436708.0625,396484.9687
197,534551.1875,-138110.7188,-97727.75,436823.4375,396440.4687
198,534551.1875,-138152.4531,-97608.0625,436943.125,396398.7344
199,534551.1875,-138191.5,-97484.125,437067.0625,396359.6875
200,534551.1875,-138227.9219,-97356,437195.1875,396323.2656
201,534551.1875,-138261.7969,-97223.75,437327.4375,396289.3906
202,534551.1875,-138293.1875,-97087.40625,437463.7813,396258
203,534551.1875,-138322.1563,-96947,437604.1875,396229.0312
204,534551.1875,-138348.7813,-96802.625,437748.5625,396202.4062
205,534551.1875,-138373.125,-96654.34375,437896.8438,396178.0625
206,534551.1875,-138395.2656,-96502.15625,438049.0313,396155.9219
207,534551.1875,-138415.2656,-96346.125,438205.0625,396135.9219
208,534551.1875,-138433.1875,-96186.34375,438364.8438,396118
209,534551.1875,-138449.1094,-96022.84375,438528.3438,396102.0781
210,534551.1875,-138463.0938,-95855.65625,438695.5313,396088.0937
211,534551.1875,-138475.2188,-95684.875,438866.3125,396075.9687
212,534551.1875,-138485.5469,-95510.5,439040.6875,396065.6406
213,534551.1875,-138494.1406,-95332.625,439218.5625,396057.0469
214,534551.1875,-138501.0625,-95151.28125,439399.9063,396050.125
215,534551.1875,-138506.4063,-94966.5,439584.6875,396044.7812
