X_Value,Base,Variation,Y_Value
273,534551.1875,-78425.71875,456125.4688
274,534551.1875,-77960.59375,456590.5938
275,534551.1875,-77484.46875,457066.7188
276,534551.1875,-76997.09375,457554.0938
277,534551.1875,-76498.15625,458053.0313
278,534551.1875,-75987.4375,458563.75
279,534551.1875,-75464.65625,459086.5313
280,534551.1875,-74929.5,459621.6875
281,534551.1875,-74381.71875,460169.4688
282,534551.1875,-73821.03125,460730.1563
283,534551.1875,-73247.1875,461304
284,534551.1875,-72659.90625,461891.2813
285,534551.1875,-72058.90625,462492.2813
286,534551.1875,-71443.9375,463107.25
287,534551.1875,-70814.6875,463736.5
288,534551.1875,-70170.90625,464380.2813
289,534551.1875,-69512.34375,465038.8438
290,534551.1875,-68838.6875,465712.5
291,534551.1875,-68149.6875,466401.5
292,534551.1875,-67445.0625,467106.125
293,534551.1875,-66724.5625,467826.625
294,534551.1875,-65987.875,468563.3125
295,534551.1875,-65234.78125,469316.4063
296,534551.1875,-64464.9375,470086.25
297,534551.1875,-63678.15625,470873.0313
298,534551.1875,-62874.09375,471677.0938
299,534551.1875,-62052.5,472498.6875
300,534551.1875,-61213.125,473338.0625
301,534551.1875,-60355.6875,474195.5
302,534551.1875,-59480.03125,475071.1563
303,534551.1875,-58586.65625,475964.5313
304,534551.1875,-57676.125,476875.0625
305,534551.1875,-56749.0625,477802.125
306,534551.1875,-55806.0625,478745.125
307,534551.1875,-54847.75,479703.4375
308,534551.1875,-53874.6875,480676.5
309,534551.1875,-52887.5,481663.6875
310,534551.1875,-51886.78125,482664.4063
311,534551.1875,-50873.125,483678.0625
312,534551.1875,-49847.15625,484704.0313
313,534551.1875,-48809.46875,485741.7188
314,534551.1875,-47760.65625,486790.5313
315,534551.1875,-46701.34375,487849.8438
316,534551.1875,-45632.09375,488919.0938
317,534551.1875,-44553.53125,489997.6563
318,534551.1875,-43466.28125,491084.9063
319,534551.1875,-42370.90625,492180.2813
320,534551.1875,-41268,493283.1875
321,534551.1875,-40158.21875,494392.9688
322,534551.1875,-39042.125,495509.0625
323,534551.1875,-37920.3125,496630.875
324,534551.1875,-36793.4375,497757.75
325,534551.1875,-35662.03125,498889.1563
326,534551.1875,-34526.75,500024.4375
327,534551.1875,-33388.15625,501163.0313
328,534551.1875,-32246.875,502304.3125
329,534551.1875,-31103.5,503447.6875
330,534551.1875,-29958.625,504592.5625
331,534551.1875,-28812.90625,505738.2813
332,534551.1875,-27666.875,506884.3125
333,534551.1875,-26521.15625,508030.0313
334,534551.1875,-25376.34375,509174.8438
335,534551.1875,-24233.0625,510318.125
336,534551.1875,-23091.9375,511459.25
337,534551.1875,-21953.5,512597.6875
338,534551.1875,-20818.40625,513732.7813
339,534551.1875,-19687.21875,514863.9688
340,534551.1875,-18560.5625,515990.625
341,534551.1875,-17439.0625,517112.125
342,534551.1875,-16323.28125,518227.9063
343,534551.1875,-15213.84375,519337.3438
344,534551.1875,-14111.34375,520439.8438
345,534551.1875,-13016.375,521534.8125
346,534551.1875,-11929.5625,522621.625
347,534551.1875,-10851.5,523699.6875
348,534551.1875,-9782.75,524768.4375
349,534551.1875,-8724,525827.1875
350,534551.1875,-7675.75,526875.4375
351,534551.1875,-6638.6875,527912.5
352,534551.1875,-5613.3125,528937.875
353,534551.1875,-4600.375,529950.8125
354,534551.1875,-3600.375,530950.8125
355,534551.1875,-2613.875,531937.3125
356,534551.1875,-1641.625,532909.5625
357,534551.1875,-684.0625,533867.125
358,534551.1875,258.0625,534809.25
359,534551.1875,1184.3125,535735.5
360,534551.1875,2093.9375,536645.125
361,534551.1875,2986.375,537537.5625
362,534551.1875,3861.25,538412.4375
363,534551.1875,4718.6875,539269.875
364,534551.1875,5559.1875,540110.375
365,534551.1875,6383.125,540934.3125
366,534551.1875,7190.875,541742.0625
367,534551.1875,7982.875,542534.0625
368,534551.1875,8759.5,543310.6875
369,534551.1875,9521.125,544072.3125
370,534551.1875,10268.125,544819.3125
371,534551.1875,11001,545552.1875
372,534551.1875,11720.125,546271.3125
373,534551.1875,12425.8125,546977
374,534551.1875,13118.5625,547669.75
375,534551.1875,13798.6875,548349.875
376,534551.1875,14466.6875,549017.875
377,534551.1875,15122.8125,549674
378,534551.1875,15767.625,550318.8125
379,534551.1875,16401.4375,550952.625
380,534551.1875,17024.6875,551575.875
381,534551.1875,17637.75,552188.9375
382,534551.1875,18241,552792.1875
383,534551.1875,18834.875,553386.0625
384,534551.1875,19419.75,553970.9375
385,534551.1875,19996.0625,554547.25
386,534551.1875,20564.1875,555115.375
387,534551.1875,21124.5,555675.6875
388,534551.1875,21677.375,556228.5625
389,534551.1875,22223.3125,556774.5
390,534551.1875,22762.6875,557313.875
391,534551.1875,23295.875,557847.0625
392,534551.1875,23823.1875,558374.375
393,534551.1875,24345.1875,558896.375
394,534551.1875,24862.1875,559413.375
395,534551.1875,25374.5625,559925.75
396,534551.1875,25882.75,560433.9375
397,534551.1875,26387.125,560938.3125
398,534551.1875,26888.125,561439.3125
399,534551.1875,27386.125,561937.3125
400,534551.1875,27881.5,562432.6875
401,534551.1875,28374.6875,562925.875
402,534551.1875,28866.125,563417.3125
403,534551.1875,29356.125,563907.3125
404,534551.1875,29845.125,564396.3125
405,534551.1875,30333.5,564884.6875
406,534551.1875,30821.6875,565372.875
407,534551.1875,31310.125,565861.3125
408,534551.1875,31799.0625,566350.25
409,534551.1875,32289.0625,566840.25
410,534551.1875,32780.4375,567331.625
411,534551.1875,33273.625,567824.8125
412,534551.1875,33769,568320.1875
413,534551.1875,34267,568818.1875
414,534551.1875,34767.9375,569319.125
415,534551.1875,35272.3125,569823.5
416,534551.1875,35780.4375,570331.625
417,534551.1875,36292.75,570843.9375
418,534551.1875,36809.6875,571360.875
419,534551.1875,37331.625,571882.8125
420,534551.1875,37858.9375,572410.125
421,534551.1875,38392,572943.1875
422,534551.1875,38931.125,573482.3125
423,534551.1875,39476.1875,574027.375
424,534551.1875,40026.6875,574577.875
425,534551.1875,40582.375,575133.5625
426,534551.1875,41142.9375,575694.125
427,534551.1875,41708,576259.1875
428,534551.1875,42277.1875,576828.375
429,534551.1875,42850.25,577401.4375
430,534551.1875,43426.75,577977.9375
431,534551.1875,44006.5,578557.6875
432,534551.1875,44589,579140.1875
433,534551.1875,45174,579725.1875
434,534551.1875,45761.1875,580312.375
435,534551.1875,46350.125,580901.3125
436,534551.1875,46940.5625,581491.75
437,534551.1875,47532.1875,582083.375
438,534551.1875,48124.5625,582675.75
439,534551.1875,48717.4375,583268.625
440,534551.1875,49310.375,583861.5625
441,534551.1875,49903.1875,584454.375
442,534551.1875,50495.375,585046.5625
443,534551.1875,51086.75,585637.9375
444,534551.1875,51676.875,586228.0625
445,534551.1875,52265.5,586816.6875
446,534551.1875,52852.1875,587403.375
447,534551.1875,53436.625,587987.8125
448,534551.1875,54018.5625,588569.75
449,534551.1875,54597.5625,589148.75
450,534551.1875,55173.375,589724.5625
451,534551.1875,55745.5625,590296.75
452,534551.1875,56313.8125,590865
453,534551.1875,56877.875,591429.0625
454,534551.1875,57437.375,591988.5625
455,534551.1875,57991.9375,592543.125
456,534551.1875,58541.1875,593092.375
457,534551.1875,59084.9375,593636.125
458,534551.1875,59622.6875,594173.875
459,534551.1875,60154.1875,594705.375
460,534551.1875,60679.125,595230.3125
461,534551.1875,61197.0625,595748.25
462,534551.1875,61707.8125,596259
463,534551.1875,62210.875,596762.0625
464,534551.1875,62706,597257.1875
465,534551.1875,63192.875,597744.0625
466,534551.1875,63671.125,598222.3125
467,534551.1875,64140.375,598691.5625
468,534551.1875,64600.375,599151.5625
469,534551.1875,65050.75,599601.9375
470,534551.1875,65491.125,600042.3125
471,534551.1875,65921.25,600472.4375
472,534551.1875,66340.6875,600891.875
473,534551.1875,66749.125,601300.3125
474,534551.1875,67146.3125,601697.5
475,534551.1875,67531.8125,602083
476,534551.1875,67905.375,602456.5625
477,534551.1875,68266.5625,602817.75
478,534551.1875,68615.125,603166.3125
479,534551.1875,68950.6875,603501.875
480,534551.1875,69272.875,603824.0625
481,534551.1875,69581.4375,604132.625
482,534551.1875,69876.0625,604427.25
483,534551.1875,70157.0625,604708.25
484,534551.1875,70424.625,604975.8125
485,534551.1875,70679.0625,605230.25
486,534551.1875,70920.75,605471.9375
487,534551.1875,71150,605701.1875
488,534551.1875,71367,605918.1875
489,534551.1875,71572.1875,606123.375
490,534551.1875,71765.75,606316.9375
491,534551.1875,71948.125,606499.3125
492,534551.1875,72119.5,606670.6875
493,534551.1875,72280.1875,606831.375
494,534551.1875,72430.625,606981.8125
495,534551.1875,72570.9375,607122.125
496,534551.1875,72701.5625,607252.75
497,534551.1875,72822.75,607373.9375
498,534551.1875,72934.75,607485.9375
499,534551.1875,73038,607589.1875
500,534551.1875,73132.75,607683.9375
501,534551.1875,73219.25,607770.4375
502,534551.1875,73297.8125,607849
503,534551.1875,73368.8125,607920
504,534551.1875,73432.5,607983.6875
505,534551.1875,73489.25,608040.4375
506,534551.1875,73539.25,608090.4375
507,534551.1875,73582.875,608134.0625
508,534551.1875,73620.4375,608171.625
509,534551.1875,73652.25,608203.4375
510,534551.1875,73678.5625,608229.75
511,534551.1875,73699.75,608250.9375
512,534551.1875,73716.0625,608267.25
513,534551.1875,73727.8125,608279
514,534551.1875,73735.3125,608286.5
515,534551.1875,73738.875,608290.0625
516,534551.1875,73738.8125,608290
517,534551.1875,73735.4375,608286.625
518,534551.1875,73729,608280.1875
519,534551.1875,73719.8125,608271
520,534551.1875,73708.25,608259.4375
521,534551.1875,73694.5625,608245.75
522,534551.1875,73679.125,608230.3125
523,534551.1875,73662.125,608213.3125
524,534551.1875,73643.9375,608195.125
525,534551.1875,73624.8125,608176
526,534551.1875,73605.1875,608156.375
527,534551.1875,73585.1875,608136.375
528,534551.1875,73565.3125,608116.5
529,534551.1875,73545.6875,608096.875
530,534551.1875,73526.6875,608077.875
531,534551.1875,73508.6875,608059.875
532,534551.1875,73491.875,608043.0625
533,534551.1875,73476.625,608027.8125
