Y_Value,X_Value,Z_Value
-210.4074426,369,40.04559087
-214.8510331,370,45.6663614
-219.3507289,371,51.36052055
-223.8912737,372,57.10908014
-228.4574116,373,62.89305198
-233.0338862,374,68.69344788
-237.6054416,375,74.49127966
-242.1568216,376,80.26755911
-246.6727701,377,86.00329807
-251.1380308,378,91.67950832
-255.5373478,379,97.27720169
-259.8554648,380,102.77739
-264.0771258,381,108.161085
-268.1870746,382,113.4092986
-272.1700551,383,118.5030426
-276.0108112,384,123.4233287
-279.6940866,385,128.1511688
-283.2046254,386,132.6675746
-286.5271714,387,136.9535581
-289.6464684,388,140.990131
-292.5472603,389,144.7583052
-295.214291,390,148.2390923
-297.6323043,391,151.4135043
-299.7860442,392,154.262553
-301.6602545,393,156.7672501
-303.239679,394,158.9086075
-304.5090617,395,160.667637
-305.4531464,396,162.0253504
-306.056677,397,162.9627595
-306.3043974,398,163.4608762
-306.1810513,399,163.5007121
-305.6713828,400,163.0632793
-304.7601356,401,162.1295893
-303.4320537,402,160.6806542
-301.6718809,403,158.6974856
-299.4643611,404,156.1610954
-296.7942382,405,153.0524954
-293.6462559,406,149.3526974
-290.0051583,407,145.0427132
-285.8556891,408,140.1035547
-281.1825923,409,134.5162336
-275.9706117,410,128.2617617
-270.2044911,411,121.3211509
-263.8689746,412,113.675413
-256.9488058,413,105.3055598
-249.4287288,414,96.19260307
-241.2934873,415,86.31755465
-232.5278252,416,75.66142635
-223.1164865,417,64.20522997
-213.044215,418,51.92997734
-202.2957545,419,38.81668026
-190.8558489,420,24.84635055
-178.7092421,421,10
-165.8279043,422,-5.71662793
-152.1327103,423,-22.19886327
-137.5317617,424,-39.31730443
-121.9331595,425,-56.9425498
-105.2450052,426,-74.94519778
-87.37539992,427,-93.19584678
-68.23244505,428,-111.5650952
-47.72424184,429,-129.9235414
-25.75889159,430,-148.1417838
-2.244495574,431,-166.0904208
22.91084492,432,-183.6400508
49.79902861,433,-200.6612722
78.51195421,434,-217.0246834
109.1415204,435,-232.6008829
141.779626,436,-247.2604689
176.5181696,437,-260.8740399
213.44905,438,-273.3121943
252.6641658,439,-284.4455305
294.2554159,440,-294.1446469
338.3146988,441,-302.2801418
384.9339134,442,-308.7226138
434.2049584,443,-313.3426611
486.2197323,444,-316.0108823
541.0701341,445,-316.5978756
598.8480623,446,-314.9742395
659.6454158,447,-311.0105724
723.5540931,448,-304.5774726
790.6659931,449,-295.5455387
861.0730144,450,-283.7853689
934.8670558,451,-269.1675617
1012.140016,452,-251.5627154
1092.983794,453,-230.8414286
1177.490287,454,-206.8742995
1265.751396,455,-179.5319266
1357.859019,456,-148.6849082
1453.905053,457,-114.2038428
1553.981399,458,-75.9593288
1658.179955,459,-33.82196454
1766.592619,460,12.33765155
1879.31129,461,62.64892109
1996.427867,462,117.2412457
2118.034249,463,176.2440269
2244.222334,464,239.7866663
2375.084021,465,307.9985656
2510.711209,466,381.0091264
2651.195797,467,458.9477502
2796.629682,468,541.9438386
2947.104765,469,630.1267933
3102.712943,470,723.6260158
3263.546116,471,822.5709078
3429.696181,472,927.0908709
3601.255039,473,1037.315307
3778.314587,474,1153.373617
3960.966724,475,1275.395202
4149.303349,476,1403.509466
4343.416361,477,1537.845808
4543.397658,478,1678.533631
4749.339139,479,1825.702336
4961.332703,480,1979.481325
5179.470248,481,2140
5403.808089,482,2307.352907
5634.260198,483,2481.495171
5870.704965,484,2662.347063
6113.020778,485,2849.828855
6361.086025,486,3043.860817
6614.779095,487,3244.363219
6873.978378,488,3451.256332
7138.56226,489,3664.460426
7408.409132,490,3883.895774
7683.397381,491,4109.482644
7963.405396,492,4341.141308
8248.311565,493,4578.792037
8537.994278,494,4822.355101
8832.331923,495,5071.75077
9131.202888,496,5326.899316
9434.485563,497,5587.72101
9742.058335,498,5854.136121
10053.79959,499,6126.06492
10369.58773,500,6403.427679
10689.30112,501,6686.144667
11012.81817,502,6974.136157
11340.01726,503,7267.322417
11670.77678,504,7565.623719
12004.97511,505,7868.960334
12342.49066,506,8177.252531
12683.20179,507,8490.420583
13026.98691,508,8808.384759
13373.72441,509,9131.065331
13723.29266,510,9458.382568
14075.57006,511,9790.256742
14430.435,512,10126.60812
14787.76587,513,10467.35698
15147.44105,514,10812.42359
15509.33894,515,11161.72822
15873.33791,516,11515.19113
16239.31637,517,11872.73261
16607.1527,518,12234.27292
16976.72528,519,12599.73233
17347.91252,520,12969.03111
17720.59278,521,13342.08954
18094.64448,522,13718.82788
18469.94598,523,14099.16641
18846.37568,524,14483.02539
19223.81198,525,14870.32509
19602.13325,526,15260.9858
19981.21789,527,15654.92777
20360.94428,528,16052.07128
20741.19082,529,16452.33659
21121.83589,530,16855.64399
21502.75788,531,17261.91374
21883.83518,532,17671.0661
22264.94618,533,18083.02136
22645.96927,534,18497.69978
23026.78283,535,18915.02164
23407.26525,536,19334.90719
23787.29493,537,19757.27672
24166.75025,538,20182.0505
24545.5096,539,20609.14879
24923.45137,540,21038.49187
25300.45394,541,21470
25676.41675,542,21903.59533
26051.32341,543,22339.20744
26425.17857,544,22776.7678
26797.98689,545,23216.20787
27169.753,546,23657.45911
27540.48158,547,24100.45297
27910.17726,548,24545.12093
28278.8447,549,24991.39443
28646.48856,550,25439.20494
29013.11348,551,25888.48392
29378.72412,552,26339.16283
29743.32513,553,26791.17312
30106.92116,554,27244.44627
30469.51687,555,27698.91373
30831.1169,556,28154.50695
31191.72591,557,28611.15741
31551.34855,558,29068.79655
31909.98947,559,29527.35585
32267.65333,560,29986.76676
32624.34478,561,30446.96073
32980.06846,562,30907.86924
33334.82904,563,31369.42373
33688.63116,564,31831.55568
34041.47948,565,32294.19654
34393.37865,566,32757.27777
34744.33331,567,33220.73083
35094.34813,568,33684.48718
35443.42776,569,34148.47829
35791.57684,570,34612.6356
36138.80003,571,35076.89059
36485.10198,572,35541.17471
36830.48735,573,36005.41942
37174.96078,574,36469.55619
37518.52693,575,36933.51646
37861.19046,576,37397.23171
38202.956,577,37860.6334
38543.82822,578,38323.65297
38883.81176,579,38786.2219
39222.91129,580,39248.27164
39561.13144,581,39709.73366
39898.47688,582,40170.5394
40234.95226,583,40630.62035
40570.56222,584,41089.90794
40905.31143,585,41548.33365
41239.20453,586,42005.82894
41572.24617,587,42462.32525
41904.44101,588,42917.75407
42235.79369,589,43372.04683
42566.30888,590,43825.13502
42895.99122,591,44276.95007
43224.84537,592,44727.42347
43552.87598,593,45176.48665
43880.08769,594,45624.0711
44206.48517,595,46070.10825
44532.07306,596,46514.52959
44856.85602,597,46957.26656
45180.8387,598,47398.25062
45504.02575,599,47837.41325
45826.42182,600,48274.68589
46148.03157,601,48710
46468.85216,602,49143.29505
46788.85083,603,49574.54248
47107.98731,604,50003.72173
47426.22137,605,50430.81226
47743.51273,606,50855.7935
48059.82116,607,51278.64489
48375.1064,608,51699.34589
48689.32819,609,52117.87594
49002.44627,610,52534.21447
49314.42041,611,52948.34094
49625.21033,612,53360.23479
49934.7758,613,53769.87547
50243.07655,614,54177.24241
50550.07234,615,54582.31506
50855.7229,616,54985.07287
51159.98799,617,55385.49528
51462.82735,618,55783.56174
51764.20073,619,56179.25168
52064.06787,620,56572.54456
52362.38853,621,56963.41982
52659.12244,622,57351.85689
52954.22936,623,57737.83524
53247.66903,624,58121.33429
53539.4012,625,58502.3335
53829.38561,626,58880.81231
54117.58201,627,59256.75016
54403.95015,628,59630.1265
54688.44977,629,60000.92077
54971.04062,630,60369.11242
55251.68245,631,60734.68089
55530.335,632,61097.60562
55806.95802,633,61457.86606
56081.51126,634,61815.44166
56353.95446,635,62170.31185
56624.24736,636,62522.45608
56892.34973,637,62871.8538
57158.2213,638,63218.48446
57421.82181,639,63562.32748
57683.11102,640,63903.36232
57942.04867,641,64241.56843
58198.59451,642,64576.92525
58452.70829,643,64909.41221
58704.34975,644,65239.00877
58953.47863,645,65565.69438
59200.05469,646,65889.44846
59444.03767,647,66210.25048
59685.38731,648,66528.07987
59924.06337,649,66842.91607
60160.02559,650,67154.73854
60393.23372,651,67463.52671
60623.6475,652,67769.26004
60851.22668,653,68071.91795
61075.93101,654,68371.47991
61297.72023,655,68667.92535
61516.55409,656,68961.23371
61732.39233,657,69251.38445
61945.19471,658,69538.357
62154.92097,659,69822.13082
62361.53085,660,70102.68533
62564.9841,661,70380
62765.24476,662,70654.04735
62962.29399,663,70924.77228
63156.11725,664,71192.11276
63346.70001,665,71456.0068
63534.0277,666,71716.39237
63718.0858,667,71973.20746
63898.85976,668,72226.39005
64076.33504,669,72475.87813
64250.49708,670,72721.60968
64421.33136,671,72963.52268
64588.82332,672,73201.55514
64752.95842,673,73435.64501
64913.72212,674,73665.73031
65071.09988,675,73891.74899
65225.07714,676,74113.63907
65375.63938,677,74331.33851
65522.77205,678,74544.7853
65666.46059,679,74753.91743
65806.69048,680,74958.67288
65943.44716,681,75158.98964
66076.71609,682,75354.80569
66206.48273,683,75546.05902
66332.73254,684,75732.68761
66455.45097,685,75914.62945
66574.62348,686,76091.82253
66690.23552,687,76264.20482
66802.27256,688,76431.71431
66910.72005,689,76594.28899
67015.56344,690,76751.86684
67116.7882,691,76904.38585
67214.37977,692,77051.78401
67308.32362,693,77193.99929
67398.60521,694,77330.96968
67485.20998,695,77462.63317
67568.1234,696,77588.92774
67647.33092,697,77709.79139
67722.818,698,77825.16208
67794.5701,699,77934.97781
67862.57267,700,78039.17656
67926.81117,701,78137.69632
67987.27106,702,78230.47508
68043.93779,703,78317.45081
68096.79682,704,78398.5615
68145.83361,705,78473.74514
68191.03361,706,78542.93971
68232.38228,707,78606.08321
68269.86508,708,78663.1136
68303.46745,709,78713.96888
68333.17487,710,78758.58703
68358.97279,711,78796.90604
68380.84666,712,78828.86389
68398.78194,713,78854.39857
68412.76409,714,78873.44807
68422.77856,715,78885.95036
68428.81081,716,78891.84343
68430.84629,717,78891.06527
68428.87047,718,78883.55386
68422.8688,719,78869.24719
68412.82674,720,78848.08324
68398.72974,721,78820
68380.57068,722,78784.95708
68358.37208,723,78743.00064
68332.16388,724,78694.19846
68301.97603,725,78638.61832
68267.83847,726,78576.32799
68229.78114,727,78507.39528
68187.83399,728,78431.88794
68142.02695,729,78349.87378
68092.38998,730,78261.42057
68038.953,731,78166.5961
67981.74597,732,78065.46814
67920.79882,733,77958.10448
67856.1415,734,77844.5729
67787.80396,735,77724.94119
67715.81612,736,77599.27712
67640.20795,737,77467.64848
67561.00937,738,77330.12305
67478.25032,739,77186.76861
67391.96077,740,77037.65295
67302.17063,741,76882.84385
67208.90987,742,76722.40909
67112.20841,743,76556.41646
67012.09621,744,76384.93373
66908.6032,745,76208.02869
66801.75932,746,76025.76911
66691.59453,747,75838.22279
66578.13875,748,75645.45751
66461.42194,749,75447.54104
66341.47404,750,75244.54118
66218.32498,751,75036.5257
66092.00471,752,74823.56238
65962.54318,753,74605.71901
65829.97032,754,74383.06337
65694.31608,755,74155.66324
65555.6104,756,73923.58641
65413.88322,757,73686.90065
65269.16449,758,73445.67376
65121.48414,759,73199.9735
64970.87212,760,72949.86767
64817.35838,761,72695.42405
64660.97285,762,72436.71042
64501.74547,763,72173.79456
64339.70619,764,71906.74425
64174.88496,765,71635.62728
64007.3117,766,71360.51143
63837.01638,767,71081.46448
63664.02892,768,70798.55421
63488.37927,769,70511.84841
63310.09737,770,70221.41486
63129.21317,771,69927.32134
62945.75661,772,69629.63564
62759.75762,773,69328.42553
62571.24616,774,69023.7588
62380.25216,775,68715.70323
62186.80557,776,68404.3266
61990.93633,777,68089.6967
61792.67438,778,67771.88131
61592.04966,779,67450.9482
61389.09212,780,67126.96517
61183.83169,781,66800
60976.29198,782,66470.11154
60766.47114,783,66137.32293
60554.361,784,65801.6484
60339.95338,785,65463.10216
60123.24009,786,65121.69844
59904.21296,787,64777.45144
59682.8638,788,64430.3754
59459.18443,789,64080.48452
59233.16667,790,63727.79303
59004.80234,791,63372.31515
58774.08325,792,63014.06509
58541.00123,793,62653.05707
58305.54809,794,62289.30532
58067.71566,795,61922.82404
57827.49575,796,61553.62747
57584.88018,797,61181.72981
57339.86076,798,60807.14529
57092.42932,799,60429.88812
56842.57768,800,60049.97253
56590.29765,801,59667.41272
56335.58106,802,59282.22293
56078.41972,803,58894.41737
55818.80544,804,58504.01025
55556.73006,805,58111.01581
55292.18538,806,57715.44824
55025.16323,807,57317.32178
54755.65542,808,56916.65065
54483.65378,809,56513.44905
54209.15012,810,56107.73122
53932.13626,811,55699.51136
53652.60401,812,55288.8037
53370.54521,813,54875.62245
53085.95166,814,54459.98184
52798.81518,815,54041.89609
52509.1276,816,53621.3794
52216.88073,817,53198.446
51922.06639,818,52773.11012
51624.6764,819,52345.38596
51324.70258,820,51915.28774
51022.13674,821,51482.82969
50716.97071,822,51048.02603
50409.1963,823,50610.89096
50098.80534,824,50171.43872
49785.78963,825,49729.68352
49470.14101,826,49285.63957
49151.85128,827,48839.3211
48830.91227,828,48390.74233
48507.31579,829,47939.91747
48181.05367,830,47486.86074
47852.11772,831,47031.58636
47520.49976,832,46574.10855
47186.19161,833,46114.44154
46849.18509,834,45652.59952
46509.47202,835,45188.59674
46167.04421,836,44722.4474
45821.89348,837,44254.16572
45474.01166,838,43783.76592
45123.39056,839,43311.26222
44770.022,840,42836.66884
44413.89779,841,42360
44055.0198,842,41881.28811
43693.43001,843,41400.63838
43329.18044,844,40918.1742
42962.32311,845,40434.01897
42592.91006,846,39948.29609
42220.99329,847,39461.12896
41846.62484,848,38972.64098
41469.85672,849,38482.95554
41090.74096,850,37992.19605
40709.32958,851,37500.4859
40325.67461,852,37007.9485
39939.82807,853,36514.70723
39551.84197,854,36020.8855
39161.76834,855,35526.60672
38769.65921,856,35031.99426
38375.5666,857,34537.17155
37979.54253,858,34042.26196
37581.63902,859,33547.38891
37181.9081,860,33052.67579
36780.40179,861,32558.24599
36377.1721,862,32064.22293
35972.27107,863,31570.72999
35565.75072,864,31077.89058
35157.66307,865,30585.82809
34748.06014,866,30094.66592
34336.99395,867,29604.52747
33924.51653,868,29115.53615
33510.6799,869,28627.81534
33095.53609,870,28141.48844
32679.13711,871,27656.67887
32261.53499,872,27173.51
31842.78175,873,26692.10525
31422.92941,874,26212.58801
31002.03,875,25735.08167
30580.13554,876,25259.70965
30157.29805,877,24786.59533
29733.56955,878,24315.86212
29309.00207,879,23847.63341
28883.64764,880,23382.0326
28457.55826,881,22919.1831
28030.78597,882,22459.20829
27603.38279,883,22002.23158
27175.40074,884,21548.37637
26746.89184,885,21097.76606
26317.90812,886,20650.52404
25888.5016,887,20206.77371
25458.7243,888,19766.63847
25028.62824,889,19330.24172
24598.26546,890,18897.70686
24167.68796,891,18469.15728
23736.94777,892,18044.71639
23306.09692,893,17624.50759
22875.18743,894,17208.65427
22444.27131,895,16797.27982
22013.4006,896,16390.50766
21582.62732,897,15988.46118
21152.00349,898,15591.26377
20721.58112,899,15199.03884
20291.41225,900,14811.90978
19861.5489,901,14430
19432.05802,902,14053.40949
19003.06628,903,13682.14467
18574.71529,904,13316.18857
18147.14666,905,12955.52419
17720.50198,906,12600.13457
17294.92287,907,12250.00272
16870.55092,908,11905.11167
16447.52774,909,11565.44443
16025.99494,910,11230.98402
15606.09412,911,10901.71347
15187.96689,912,10577.61579
14771.75485,913,10258.67401
14357.5996,914,9944.871139
13945.64275,915,9636.190207
13536.02591,916,9332.614231
13128.89067,917,9034.126233
12724.37865,918,8740.70923
12322.63145,919,8452.346246
11923.79067,920,8169.020298
11527.99791,921,7890.714409
11135.39479,922,7617.411598
10746.1229,923,7349.094885
10360.32386,924,7085.747292
9978.139256,925,6827.351838
9599.710706,926,6573.891543
9225.17981,927,6325.349429
8854.688174,928,6081.708515
8488.377401,929,5842.951822
8126.389097,930,5609.06237
7768.864866,931,5380.023179
7415.946313,932,5155.817271
7067.775042,933,4936.427664
6724.492658,934,4721.83738
6386.240766,935,4512.029439
6053.160969,936,4306.986861
5725.394874,937,4106.692666
5403.084083,938,3911.129876
5086.370203,939,3720.28151
4775.394837,940,3534.130589
4470.29959,941,3352.660132
4171.226067,942,3175.853161
3878.315872,943,3003.692696
3591.710611,944,2836.161756
3311.551886,945,2673.243364
3037.981304,946,2514.920537
2771.140469,947,2361.176298
2511.170985,948,2211.993667
2258.214457,949,2067.355663
2012.412489,950,1927.245308
1773.906686,951,1791.645621
1542.838654,952,1660.539623
1319.349995,953,1533.910334
1103.582316,954,1411.740775
895.6772203,955,1294.013966
695.7763126,956,1180.712927
504.0211977,957,1071.820679
320.5534802,958,967.3202418
